clave,desc,exist_parcial,existencia,precio_c,precio_v,valor_costo,valor_venta
FILTEÑ56750,150/48 DTY 100% POLIESTER SD NIM C/CH GRIS,0.0,77.18,40.0,77.72,3087.2,5998.43
FILTAN19534,150/48+20 DTY TANGLEADO SD GRIS OBSCURO,0.0,75.62,40.0,63.8,3024.8,4824.56
FILCRU80555,75/36 DTY 100% POLIESTER SD HIM,0.0,0.0,30.0,42.92,0.0,0.0
HILFIL23006,75/72 DTY 100% POLIESTER SIM CD BR RW,0.0,0.0,27.12,58.0,0.0,0.0
FILCRU16773,75/36 DTY 100% POLIESTER SD SIM URDIDO,0.0,0.0,30.0,42.92,0.0,0.0
HILFIL54332,150/48 DTY 100% POLIESTER SD NIM C/G CAFE,0.0,3014.6,40.0,66.12,120584.0,199325.35
FELTEL65940,FELPA SPUN 100% POLIESTER BLANCO,0.0,0.0,0.0,0.0,0.0,0.0
FELTEL86316,FELPA SPUN 100% POLIESTER MARINO,0.0,0.0,0.0,0.0,0.0,0.0
FELTEL84677,FELPA SPUN 100% POLIESTER NEGRO,0.0,0.0,0.0,0.0,0.0,0.0
HILFIL13937,150/48 DTY 100% POLIESTER SD NIM C/CH CAFE,0.0,0.0,40.0,66.12,0.0,0.0
HILFIL27967,150/288 DTY 100% POLIESTER RW SD SIM CRUDO,0.0,0.0,38.28,41.76,0.0,0.0
DEPOLI12189,JACQUARD 162 BLANCO,0.0,0.0,100.0,125.0,0.0,0.0
